"","category","term","number_of_genes","number_of_genes_in_background","ncbiTaxonId","inputGenes","preferredNames","p_value","fdr","description"
"2102","KEGG","hsa04062",16,186,9606,"9606.ENSP00000219244,9606.ENSP00000225831,9606.ENSP00000292303,9606.ENSP00000296027,9606.ENSP00000305651,9606.ENSP00000306512,9606.ENSP00000332659,9606.ENSP00000354901,9606.ENSP00000362795,9606.ENSP00000375892,9606.ENSP00000386884,9606.ENSP00000441600,9606.ENSP00000451828,9606.ENSP00000474412,9606.ENSP00000477908,9606.ENSP00000482259","CCL17,CCL2,CCR5,CXCL5,CXCL10,CXCL8,CCR4,CXCL9,CXCR3,AKT2,CXCR4,CCR3,AKT1,CCL5,CCL3,CCL4",8.22e-08,7.68e-07,"Chemokine signaling pathway"
"2103","KEGG","hsa00330",9,48,9606,"9606.ENSP00000221476,9606.ENSP00000226299,9606.ENSP00000299198,9606.ENSP00000327251,9606.ENSP00000349577,9606.ENSP00000359539,9606.ENSP00000364490,9606.ENSP00000404203,9606.ENSP00000481127","CKM,LAP3,CKB,NOS2,POX2,GOT1,ALDH4A1,CKMT2,PRODH",1.78e-07,1.61e-06,"Arginine and proline metabolism"
"2104","KEGG","hsa05330",8,34,9606,"9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000231228,9606.ENSP00000231449,9606.ENSP00000303231,9606.ENSP00000356694,9606.ENSP00000398698,9606.ENSP00000412237","IL2,IFNG,IL12B,IL4,IL12A,FASLG,TNF,IL10",1.91e-07,1.69e-06,"Allograft rejection"
"2105","KEGG","hsa05145",12,105,9606,"9606.ENSP00000162749,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000231228,9606.ENSP00000292303,9606.ENSP00000303231,9606.ENSP00000327251,9606.ENSP00000375892,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000432083,9606.ENSP00000451828","TNFRSF1A,TGFB1,IFNG,IL12B,CCR5,IL12A,NOS2,AKT2,TNF,IL10,HSPA8,AKT1",2.18e-07,1.88e-06,"Toxoplasmosis"
"2106","KEGG","hsa04920",10,69,9606,"9606.ENSP00000162749,9606.ENSP00000264867,9606.ENSP00000312652,9606.ENSP00000330393,9606.ENSP00000341785,9606.ENSP00000365435,9606.ENSP00000375892,9606.ENSP00000389814,9606.ENSP00000398698,9606.ENSP00000451828","TNFRSF1A,PPARGC1A,LEP,LEPR,ADIPOR1,TNFRSF1B,AKT2,ADIPOQ,TNF,AKT1",3.14e-07,2.64e-06,"Adipocytokine signaling pathway"
"2107","KEGG","hsa05410",11,89,9606,"9606.ENSP00000221930,9606.ENSP00000228841,9606.ENSP00000236918,9606.ENSP00000290378,9606.ENSP00000341838,9606.ENSP00000347507,9606.ENSP00000351022,9606.ENSP00000363071,9606.ENSP00000379210,9606.ENSP00000385675,9606.ENSP00000398698","TGFB1,MYL2,TNNT2,ACTC1,TNNI3,MYH7,TPM1,DES,MYL3,IL6,TNF",3.44e-07,2.82e-06,"Hypertrophic cardiomyopathy"
"2108","KEGG","hsa05130",15,187,9606,"9606.ENSP00000162749,9606.ENSP00000229239,9606.ENSP00000241261,9606.ENSP00000263341,9606.ENSP00000276431,9606.ENSP00000301072,9606.ENSP00000306512,9606.ENSP00000308541,9606.ENSP00000339001,9606.ENSP00000352834,9606.ENSP00000356694,9606.ENSP00000379616,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000470298","TNFRSF1A,GAPDH,TNFSF10,IL1B,TNFRSF10B,TUBA1C,CXCL8,F2,TUBB,MYO1C,FASLG,MYH11,IL6,TNF,MYH14",4.83e-07,3.87e-06,"Pathogenic Escherichia coli infection"
"2109","KEGG","hsa05163",16,218,9606,"9606.ENSP00000162749,9606.ENSP00000225831,9606.ENSP00000263341,9606.ENSP00000292303,9606.ENSP00000300289,9606.ENSP00000306512,9606.ENSP00000356694,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000386884,9606.ENSP00000398698,9606.ENSP00000441600,9606.ENSP00000451828,9606.ENSP00000474412,9606.ENSP00000477908,9606.ENSP00000482259","TNFRSF1A,CCL2,IL1B,CCR5,PDIA3,CXCL8,FASLG,AKT2,IL6,CXCR4,TNF,CCR3,AKT1,CCL5,CCL3,CCL4",6.1e-07,4.77e-06,"Human cytomegalovirus infection"
"2110","KEGG","hsa05132",15,209,9606,"9606.ENSP00000162749,9606.ENSP00000228841,9606.ENSP00000229239,9606.ENSP00000241261,9606.ENSP00000263341,9606.ENSP00000276431,9606.ENSP00000299767,9606.ENSP00000306512,9606.ENSP00000335153,9606.ENSP00000346032,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000399403,9606.ENSP00000451828","TNFRSF1A,MYL2,GAPDH,TNFSF10,IL1B,TNFRSF10B,HSP90B1,CXCL8,HSP90AA1,ANXA2,AKT2,IL6,TNF,KLC2,AKT1",1.78e-06,1.36e-05,"Salmonella infection"
"2111","KEGG","hsa04210",12,132,9606,"9606.ENSP00000162749,9606.ENSP00000236671,9606.ENSP00000241261,9606.ENSP00000267953,9606.ENSP00000276431,9606.ENSP00000286186,9606.ENSP00000301072,9606.ENSP00000355759,9606.ENSP00000356694,9606.ENSP00000375892,9606.ENSP00000398698,9606.ENSP00000451828","TNFRSF1A,CTSD,TNFSF10,BCL2A1,TNFRSF10B,CASP10,TUBA1C,PARP1,FASLG,AKT2,TNF,AKT1",2.05e-06,1.53e-05,"Apoptosis"
"2112","KEGG","hsa05140",9,70,9606,"9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000231228,9606.ENSP00000231449,9606.ENSP00000263341,9606.ENSP00000303231,9606.ENSP00000327251,9606.ENSP00000398698,9606.ENSP00000412237","TGFB1,IFNG,IL12B,IL4,IL1B,IL12A,NOS2,TNF,IL10",3.03e-06,2.22e-05,"Leishmaniasis"
"2113","KEGG","hsa05414",10,95,9606,"9606.ENSP00000221930,9606.ENSP00000228841,9606.ENSP00000236918,9606.ENSP00000290378,9606.ENSP00000341838,9606.ENSP00000347507,9606.ENSP00000351022,9606.ENSP00000363071,9606.ENSP00000379210,9606.ENSP00000398698","TGFB1,MYL2,TNNT2,ACTC1,TNNI3,MYH7,TPM1,DES,MYL3,TNF",4.45e-06,3.18e-05,"Dilated cardiomyopathy"
"2114","KEGG","hsa04940",7,39,9606,"9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000231228,9606.ENSP00000263341,9606.ENSP00000303231,9606.ENSP00000356694,9606.ENSP00000398698","IL2,IFNG,IL12B,IL1B,IL12A,FASLG,TNF",5.51e-06,3.86e-05,"Type I diabetes mellitus"
"2115","KEGG","hsa04625",10,102,9606,"9606.ENSP00000219244,9606.ENSP00000226730,9606.ENSP00000231228,9606.ENSP00000263341,9606.ENSP00000303231,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000451828","CCL17,IL2,IL12B,IL1B,IL12A,AKT2,IL6,TNF,IL10,AKT1",7.95e-06,5.45e-05,"C-type lectin receptor signaling pathway"
"2116","KEGG","hsa04068",11,127,9606,"9606.ENSP00000221930,9606.ENSP00000241052,9606.ENSP00000241261,9606.ENSP00000256442,9606.ENSP00000356694,9606.ENSP00000375892,9606.ENSP00000380044,9606.ENSP00000385675,9606.ENSP00000412237,9606.ENSP00000446252,9606.ENSP00000451828","TGFB1,CAT,TNFSF10,CCNB1,FASLG,AKT2,CSNK1E,IL6,IL10,SOD2,AKT1",8.41e-06,5.65e-05,"FoxO signaling pathway"
"2117","KEGG","hsa04672",7,43,9606,"9606.ENSP00000221930,9606.ENSP00000226730,9606.ENSP00000231449,9606.ENSP00000296545,9606.ENSP00000385675,9606.ENSP00000386884,9606.ENSP00000412237","TGFB1,IL2,IL4,IL15,IL6,CXCR4,IL10",9.77e-06,6.44e-05,"Intestinal immune network for IgA production"
"2118","KEGG","hsa00020",6,29,9606,"9606.ENSP00000205402,9606.ENSP00000299518,9606.ENSP00000331897,9606.ENSP00000355518,9606.ENSP00000364649,9606.ENSP00000438144","DLD,IDH3A,IDH2,FH,SDHB,MDH1",1.29e-05,8.34e-05,"Citrate cycle (TCA cycle)"
"2119","KEGG","hsa00480",7,53,9606,"9606.ENSP00000216951,9606.ENSP00000226299,9606.ENSP00000331897,9606.ENSP00000342026,9606.ENSP00000360002,9606.ENSP00000381607,9606.ENSP00000407375","GSS,LAP3,IDH2,PRDX6,GSTA4,GSTP1,GPX1",3.32e-05,0.00021,"Glutathione metabolism"
"2120","KEGG","hsa05332",6,36,9606,"9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000263341,9606.ENSP00000356694,9606.ENSP00000385675,9606.ENSP00000398698","IL2,IFNG,IL1B,FASLG,IL6,TNF",3.81e-05,0.00024,"Graft-versus-host disease"
"2121","KEGG","hsa05134",7,55,9606,"9606.ENSP00000231228,9606.ENSP00000263341,9606.ENSP00000303231,9606.ENSP00000306512,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000432083","IL12B,IL1B,IL12A,CXCL8,IL6,TNF,HSPA8",4.12e-05,0.00025,"Legionellosis"
"2122","KEGG","hsa05135",10,125,9606,"9606.ENSP00000225831,9606.ENSP00000226730,9606.ENSP00000263238,9606.ENSP00000263341,9606.ENSP00000306512,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000451828","CCL2,IL2,ACTR3,IL1B,CXCL8,AKT2,IL6,TNF,IL10,AKT1",4.08e-05,0.00025,"Yersinia infection"
"2123","KEGG","hsa04064",9,101,9606,"9606.ENSP00000162749,9606.ENSP00000263341,9606.ENSP00000267953,9606.ENSP00000294728,9606.ENSP00000306512,9606.ENSP00000355759,9606.ENSP00000398698,9606.ENSP00000454207,9606.ENSP00000482259","TNFRSF1A,IL1B,BCL2A1,VCAM1,CXCL8,PARP1,TNF,TRAF3,CCL4",4.55e-05,0.00027,"NF-kappa B signaling pathway"
"2124","KEGG","hsa05161",11,159,9606,"9606.ENSP00000221930,9606.ENSP00000286186,9606.ENSP00000306512,9606.ENSP00000356694,9606.ENSP00000361405,9606.ENSP00000375892,9606.ENSP00000379287,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000454207","TGFB1,CASP10,CXCL8,FASLG,MMP9,AKT2,YWHAZ,IL6,TNF,AKT1,TRAF3",5.88e-05,0.00034,"Hepatitis B"
"2125","KEGG","hsa04213",7,61,9606,"9606.ENSP00000241052,9606.ENSP00000270142,9606.ENSP00000294053,9606.ENSP00000375892,9606.ENSP00000432083,9606.ENSP00000446252,9606.ENSP00000451828","CAT,SOD1,CLPB,AKT2,HSPA8,SOD2,AKT1",7.51e-05,0.00043,"Longevity regulating pathway - multiple species"
"2126","KEGG","hsa04612",7,63,9606,"9606.ENSP00000229135,9606.ENSP00000300289,9606.ENSP00000324173,9606.ENSP00000335153,9606.ENSP00000372155,9606.ENSP00000398698,9606.ENSP00000432083","IFNG,PDIA3,HSPA5,HSP90AA1,PSME1,TNF,HSPA8",9.06e-05,5e-04,"Antigen processing and presentation"
"2127","KEGG","hsa05162",10,138,9606,"9606.ENSP00000226730,9606.ENSP00000231228,9606.ENSP00000263341,9606.ENSP00000303231,9606.ENSP00000356694,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000432083,9606.ENSP00000451828,9606.ENSP00000454207","IL2,IL12B,IL1B,IL12A,FASLG,AKT2,IL6,HSPA8,AKT1,TRAF3",8.87e-05,5e-04,"Measles"
"2128","KEGG","hsa04211",8,87,9606,"9606.ENSP00000241052,9606.ENSP00000264867,9606.ENSP00000287820,9606.ENSP00000341785,9606.ENSP00000375892,9606.ENSP00000389814,9606.ENSP00000446252,9606.ENSP00000451828","CAT,PPARGC1A,PPARG,ADIPOR1,AKT2,ADIPOQ,SOD2,AKT1",9.82e-05,0.00053,"Longevity regulating pathway"
"2129","KEGG","hsa04261",10,147,9606,"9606.ENSP00000228841,9606.ENSP00000236918,9606.ENSP00000290378,9606.ENSP00000341838,9606.ENSP00000347055,9606.ENSP00000347507,9606.ENSP00000351022,9606.ENSP00000375892,9606.ENSP00000379210,9606.ENSP00000451828","MYL2,TNNT2,ACTC1,TNNI3,MYL4,MYH7,TPM1,AKT2,MYL3,AKT1",0.00014,0.00077,"Adrenergic signaling in cardiomyocytes"
"2130","KEGG","hsa05230",7,69,9606,"9606.ENSP00000269848,9606.ENSP00000297283,9606.ENSP00000320171,9606.ENSP00000331897,9606.ENSP00000359991,9606.ENSP00000375892,9606.ENSP00000451828","PFKL,PGAM2,PKM,IDH2,PGAM1,AKT2,AKT1",0.00015,8e-04,"Central carbon metabolism in cancer"
"2131","KEGG","hsa04152",9,120,9606,"9606.ENSP00000264867,9606.ENSP00000269848,9606.ENSP00000287820,9606.ENSP00000312652,9606.ENSP00000330393,9606.ENSP00000341785,9606.ENSP00000375892,9606.ENSP00000389814,9606.ENSP00000451828","PPARGC1A,PFKL,PPARG,LEP,LEPR,ADIPOR1,AKT2,ADIPOQ,AKT1",0.00016,0.00081,"AMPK signaling pathway"
"2132","KEGG","hsa04217",10,149,9606,"9606.ENSP00000162749,9606.ENSP00000229135,9606.ENSP00000241261,9606.ENSP00000263341,9606.ENSP00000276431,9606.ENSP00000277865,9606.ENSP00000335153,9606.ENSP00000355759,9606.ENSP00000356694,9606.ENSP00000398698","TNFRSF1A,IFNG,TNFSF10,IL1B,TNFRSF10B,GLUD1,HSP90AA1,PARP1,FASLG,TNF",0.00016,0.00082,"Necroptosis"
"2133","KEGG","hsa04622",7,70,9606,"9606.ENSP00000231228,9606.ENSP00000286186,9606.ENSP00000303231,9606.ENSP00000305651,9606.ENSP00000306512,9606.ENSP00000398698,9606.ENSP00000454207","IL12B,CASP10,IL12A,CXCL10,CXCL8,TNF,TRAF3",0.00017,0.00083,"RIG-I-like receptor signaling pathway"
"2134","KEGG","hsa04659",8,101,9606,"9606.ENSP00000221930,9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000231449,9606.ENSP00000263341,9606.ENSP00000335153,9606.ENSP00000344192,9606.ENSP00000385675","TGFB1,IL2,IFNG,IL4,IL1B,HSP90AA1,IL17A,IL6",0.00026,0.0013,"Th17 cell differentiation"
"2135","KEGG","hsa04371",9,131,9606,"9606.ENSP00000223095,9606.ENSP00000228841,9606.ENSP00000239938,9606.ENSP00000264867,9606.ENSP00000327251,9606.ENSP00000347055,9606.ENSP00000375892,9606.ENSP00000379210,9606.ENSP00000451828","SERPINE1,MYL2,EGR1,PPARGC1A,NOS2,MYL4,AKT2,MYL3,AKT1",0.00029,0.0014,"Apelin signaling pathway"
"2136","KEGG","hsa00620",5,38,9606,"9606.ENSP00000205402,9606.ENSP00000265838,9606.ENSP00000320171,9606.ENSP00000355518,9606.ENSP00000438144","DLD,ACAT1,PKM,FH,MDH1",0.00046,0.0022,"Pyruvate metabolism"
"2137","KEGG","hsa05168",18,479,9606,"9606.ENSP00000162749,9606.ENSP00000225831,9606.ENSP00000229135,9606.ENSP00000231228,9606.ENSP00000263341,9606.ENSP00000300289,9606.ENSP00000303231,9606.ENSP00000353652,9606.ENSP00000356694,9606.ENSP00000375892,9606.ENSP00000379208,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000454207,9606.ENSP00000471549,9606.ENSP00000474412,9606.ENSP00000482540","TNFRSF1A,CCL2,IFNG,IL12B,IL1B,PDIA3,IL12A,ZNF528,FASLG,AKT2,ZNF248,IL6,TNF,AKT1,TRAF3,ZNF615,CCL5,ZNF658",0.00062,0.0029,"Herpes simplex virus 1 infection"
"2138","KEGG","hsa04380",8,122,9606,"9606.ENSP00000162749,9606.ENSP00000221930,9606.ENSP00000229135,9606.ENSP00000263341,9606.ENSP00000287820,9606.ENSP00000375892,9606.ENSP00000398698,9606.ENSP00000451828","TNFRSF1A,TGFB1,IFNG,IL1B,PPARG,AKT2,TNF,AKT1",0.00083,0.0039,"Osteoclast differentiation"
"2139","KEGG","hsa05167",10,187,9606,"9606.ENSP00000162749,9606.ENSP00000292303,9606.ENSP00000306512,9606.ENSP00000330382,9606.ENSP00000332659,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000441600,9606.ENSP00000451828,9606.ENSP00000454207","TNFRSF1A,CCR5,CXCL8,PDGFB,CCR4,AKT2,IL6,CCR3,AKT1,TRAF3",0.00088,0.004,"Kaposi sarcoma-associated herpesvirus infection"
"2140","KEGG","hsa05160",9,156,9606,"9606.ENSP00000162749,9606.ENSP00000229135,9606.ENSP00000305651,9606.ENSP00000356694,9606.ENSP00000375892,9606.ENSP00000379287,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000454207","TNFRSF1A,IFNG,CXCL10,FASLG,AKT2,YWHAZ,TNF,AKT1,TRAF3",0.00095,0.0043,"Hepatitis C"
"2141","KEGG","hsa05215",7,96,9606,"9606.ENSP00000299767,9606.ENSP00000330382,9606.ENSP00000335153,9606.ENSP00000361405,9606.ENSP00000375892,9606.ENSP00000381607,9606.ENSP00000451828","HSP90B1,PDGFB,HSP90AA1,MMP9,AKT2,GSTP1,AKT1",0.00098,0.0044,"Prostate cancer"
"2142","KEGG","hsa01524",6,70,9606,"9606.ENSP00000233146,9606.ENSP00000356694,9606.ENSP00000360002,9606.ENSP00000375892,9606.ENSP00000381607,9606.ENSP00000451828","MSH2,FASLG,GSTA4,AKT2,GSTP1,AKT1",0.001,0.0046,"Platinum drug resistance"
"2143","KEGG","hsa04926",8,128,9606,"9606.ENSP00000219070,9606.ENSP00000221930,9606.ENSP00000322788,9606.ENSP00000327251,9606.ENSP00000353654,9606.ENSP00000361405,9606.ENSP00000375892,9606.ENSP00000451828","MMP2,TGFB1,MMP1,NOS2,COL4A2,MMP9,AKT2,AKT1",0.0011,0.0049,"Relaxin signaling pathway"
"2144","KEGG","hsa05310",4,27,9606,"9606.ENSP00000231449,9606.ENSP00000304915,9606.ENSP00000398698,9606.ENSP00000412237","IL4,IL13,TNF,IL10",0.0012,0.0051,"Asthma"
"2145","KEGG","hsa05205",10,196,9606,"9606.ENSP00000219070,9606.ENSP00000221930,9606.ENSP00000231228,9606.ENSP00000266085,9606.ENSP00000266718,9606.ENSP00000356694,9606.ENSP00000361405,9606.ENSP00000375892,9606.ENSP00000398698,9606.ENSP00000451828","MMP2,TGFB1,IL12B,TIMP3,LUM,FASLG,MMP9,AKT2,TNF,AKT1",0.0012,0.0052,"Proteoglycans in cancer"
"2146","KEGG","hsa04660",7,101,9606,"9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000231449,9606.ENSP00000375892,9606.ENSP00000398698,9606.ENSP00000412237,9606.ENSP00000451828","IL2,IFNG,IL4,AKT2,TNF,IL10,AKT1",0.0013,0.0054,"T cell receptor signaling pathway"
"2147","KEGG","hsa04922",7,101,9606,"9606.ENSP00000264867,9606.ENSP00000269848,9606.ENSP00000297283,9606.ENSP00000320171,9606.ENSP00000359991,9606.ENSP00000375892,9606.ENSP00000451828","PPARGC1A,PFKL,PGAM2,PKM,PGAM1,AKT2,AKT1",0.0013,0.0054,"Glucagon signaling pathway"
"2148","KEGG","hsa04151",14,350,9606,"9606.ENSP00000225474,9606.ENSP00000226730,9606.ENSP00000231449,9606.ENSP00000299767,9606.ENSP00000302150,9606.ENSP00000330382,9606.ENSP00000335153,9606.ENSP00000353654,9606.ENSP00000356694,9606.ENSP00000375892,9606.ENSP00000379287,9606.ENSP00000385675,9606.ENSP00000397297,9606.ENSP00000451828","CSF3,IL2,IL4,HSP90B1,PRL,PDGFB,HSP90AA1,COL4A2,FASLG,AKT2,YWHAZ,IL6,NTF3,AKT1",0.0014,0.0057,"PI3K-Akt signaling pathway"
"2149","KEGG","hsa03018",6,75,9606,"9606.ENSP00000234590,9606.ENSP00000263579,9606.ENSP00000269848,9606.ENSP00000297185,9606.ENSP00000324105,9606.ENSP00000399862","ENO1,DCPS,PFKL,HSPA9,ENO3,CNOT10",0.0014,0.0058,"RNA degradation"
"2150","KEGG","hsa00030",4,29,9606,"9606.ENSP00000226253,9606.ENSP00000269848,9606.ENSP00000378669,9606.ENSP00000405573","ALDOC,PFKL,ALDOA,GPI",0.0015,0.006,"Pentose phosphate pathway"
"2151","KEGG","hsa00630",4,30,9606,"9606.ENSP00000205402,9606.ENSP00000241052,9606.ENSP00000265838,9606.ENSP00000438144","DLD,CAT,ACAT1,MDH1",0.0017,0.0065,"Glyoxylate and dicarboxylate metabolism"
"2152","KEGG","hsa05170",10,204,9606,"9606.ENSP00000162749,9606.ENSP00000256442,9606.ENSP00000292303,9606.ENSP00000300289,9606.ENSP00000356694,9606.ENSP00000365435,9606.ENSP00000375892,9606.ENSP00000386884,9606.ENSP00000398698,9606.ENSP00000451828","TNFRSF1A,CCNB1,CCR5,PDIA3,FASLG,TNFRSF1B,AKT2,CXCR4,TNF,AKT1",0.0016,0.0065,"Human immunodeficiency virus 1 infection"
"2153","KEGG","hsa04146",6,79,9606,"9606.ENSP00000241052,9606.ENSP00000270142,9606.ENSP00000327251,9606.ENSP00000331897,9606.ENSP00000369461,9606.ENSP00000446252","CAT,SOD1,NOS2,IDH2,ECI2,SOD2",0.0018,0.0071,"Peroxisome"
"2154","KEGG","hsa04621",9,174,9606,"9606.ENSP00000225831,9606.ENSP00000263341,9606.ENSP00000306512,9606.ENSP00000335153,9606.ENSP00000375872,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000454207,9606.ENSP00000474412","CCL2,IL1B,CXCL8,HSP90AA1,ATG16L1,IL6,TNF,TRAF3,CCL5",0.002,0.0075,"NOD-like receptor signaling pathway"
"2155","KEGG","hsa00051",4,32,9606,"9606.ENSP00000226253,9606.ENSP00000269848,9606.ENSP00000370194,9606.ENSP00000378669","ALDOC,PFKL,GMDS,ALDOA",0.0021,0.0078,"Fructose and mannose metabolism"
"2156","KEGG","hsa05131",10,218,9606,"9606.ENSP00000162749,9606.ENSP00000211998,9606.ENSP00000228841,9606.ENSP00000263341,9606.ENSP00000306512,9606.ENSP00000375872,9606.ENSP00000375892,9606.ENSP00000398698,9606.ENSP00000451828,9606.ENSP00000474412","TNFRSF1A,VCL,MYL2,IL1B,CXCL8,ATG16L1,AKT2,TNF,AKT1,CCL5",0.0026,0.0097,"Shigellosis"
"2157","KEGG","hsa04658",6,87,9606,"9606.ENSP00000226730,9606.ENSP00000229135,9606.ENSP00000231228,9606.ENSP00000231449,9606.ENSP00000303231,9606.ENSP00000304915","IL2,IFNG,IL12B,IL4,IL12A,IL13",0.0029,0.0108,"Th1 and Th2 cell differentiation"
"2158","KEGG","hsa04623",5,62,9606,"9606.ENSP00000263341,9606.ENSP00000305651,9606.ENSP00000385675,9606.ENSP00000474412,9606.ENSP00000482259","IL1B,CXCL10,IL6,CCL5,CCL4",0.0035,0.0127,"Cytosolic DNA-sensing pathway"
"2159","KEGG","hsa01210",3,18,9606,"9606.ENSP00000299518,9606.ENSP00000331897,9606.ENSP00000359539","IDH3A,IDH2,GOT1",0.0037,0.0135,"2-Oxocarboxylic acid metabolism"
"2160","KEGG","hsa04664",5,66,9606,"9606.ENSP00000231449,9606.ENSP00000304915,9606.ENSP00000375892,9606.ENSP00000398698,9606.ENSP00000451828","IL4,IL13,AKT2,TNF,AKT1",0.0044,0.0159,"Fc epsilon RI signaling pathway"
"2161","KEGG","hsa05211",5,66,9606,"9606.ENSP00000221930,9606.ENSP00000330382,9606.ENSP00000355518,9606.ENSP00000375892,9606.ENSP00000451828","TGFB1,PDGFB,FH,AKT2,AKT1",0.0044,0.0159,"Renal cell carcinoma"
"2162","KEGG","hsa04216",4,41,9606,"9606.ENSP00000216117,9606.ENSP00000216951,9606.ENSP00000264613,9606.ENSP00000385834","HMOX1,GSS,CP,TF",0.0047,0.0165,"Ferroptosis"
"2163","KEGG","hsa05219",4,41,9606,"9606.ENSP00000219070,9606.ENSP00000306512,9606.ENSP00000322788,9606.ENSP00000361405","MMP2,CXCL8,MMP1,MMP9",0.0047,0.0165,"Bladder cancer"
"2164","KEGG","hsa00071",4,42,9606,"9606.ENSP00000265838,9606.ENSP00000285093,9606.ENSP00000369461,9606.ENSP00000438689","ACAT1,ACAA2,ECI2,ACADVL",0.0051,0.0175,"Fatty acid degradation"
"2165","KEGG","hsa00220",3,21,9606,"9606.ENSP00000277865,9606.ENSP00000327251,9606.ENSP00000359539","GLUD1,NOS2,GOT1",0.0055,0.0187,"Arginine biosynthesis"
"2166","KEGG","hsa04010",11,288,9606,"9606.ENSP00000162749,9606.ENSP00000221930,9606.ENSP00000248553,9606.ENSP00000263341,9606.ENSP00000330382,9606.ENSP00000356694,9606.ENSP00000375892,9606.ENSP00000397297,9606.ENSP00000398698,9606.ENSP00000432083,9606.ENSP00000451828","TNFRSF1A,TGFB1,HSPB1,IL1B,PDGFB,FASLG,AKT2,NTF3,TNF,HSPA8,AKT1",0.0061,0.0206,"MAPK signaling pathway"
"2167","KEGG","hsa05166",9,211,9606,"9606.ENSP00000162749,9606.ENSP00000221930,9606.ENSP00000226730,9606.ENSP00000239938,9606.ENSP00000296545,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828","TNFRSF1A,TGFB1,IL2,EGR1,IL15,AKT2,IL6,TNF,AKT1",0.0065,0.0218,"Human T-cell leukemia virus 1 infection"
"2168","KEGG","hsa00280",4,46,9606,"9606.ENSP00000205402,9606.ENSP00000265838,9606.ENSP00000285093,9606.ENSP00000343657","DLD,ACAT1,ACAA2,MCCC2",0.0069,0.0227,"Valine, leucine and isoleucine degradation"
"2169","KEGG","hsa00520",4,46,9606,"9606.ENSP00000338703,9606.ENSP00000370194,9606.ENSP00000405573,9606.ENSP00000423674","UGP2,GMDS,GPI,GNPDA1",0.0069,0.0227,"Amino sugar and nucleotide sugar metabolism"
"2170","KEGG","hsa04918",5,74,9606,"9606.ENSP00000237014,9606.ENSP00000295897,9606.ENSP00000299767,9606.ENSP00000324173,9606.ENSP00000407375","TTR,ALB,HSP90B1,HSPA5,GPX1",0.007,0.0227,"Thyroid hormone synthesis"
"2171","KEGG","hsa03320",5,75,9606,"9606.ENSP00000227667,9606.ENSP00000236850,9606.ENSP00000287820,9606.ENSP00000322788,9606.ENSP00000389814","APOC3,APOA1,PPARG,MMP1,ADIPOQ",0.0074,0.0236,"PPAR signaling pathway"
"2172","KEGG","hsa04931",6,107,9606,"9606.ENSP00000162749,9606.ENSP00000264867,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000398698,9606.ENSP00000451828","TNFRSF1A,PPARGC1A,AKT2,IL6,TNF,AKT1",0.0075,0.0238,"Insulin resistance"
"2173","KEGG","hsa05320",4,48,9606,"9606.ENSP00000226730,9606.ENSP00000231449,9606.ENSP00000356694,9606.ENSP00000412237","IL2,IL4,FASLG,IL10",0.0079,0.0248,"Autoimmune thyroid disease"
"2174","KEGG","hsa04670",6,109,9606,"9606.ENSP00000211998,9606.ENSP00000219070,9606.ENSP00000228841,9606.ENSP00000294728,9606.ENSP00000361405,9606.ENSP00000386884","VCL,MMP2,MYL2,VCAM1,MMP9,CXCR4",0.0082,0.0254,"Leukocyte transendothelial migration"
"2175","KEGG","hsa04218",7,150,9606,"9606.ENSP00000221930,9606.ENSP00000223095,9606.ENSP00000256442,9606.ENSP00000306512,9606.ENSP00000375892,9606.ENSP00000385675,9606.ENSP00000451828","TGFB1,SERPINE1,CCNB1,CXCL8,AKT2,IL6,AKT1",0.0101,0.0312,"Cellular senescence"
